nohup: ignoring input
第0个epoch:
第0个epoch:
tensor(1.5931, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.7907, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5176, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.6210, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5631, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.6827, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.6215, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5733, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.6592, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.6724, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5037, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.6735, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5233, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5872, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5693, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4961, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4978, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5917, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.6894, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.7380, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5771, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5127, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.6090, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.6065, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.6455, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5250, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5327, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5985, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5488, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5735, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5388, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5302, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4771, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4678, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.6477, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5711, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4294, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5641, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3984, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5617, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.6409, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4607, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3758, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4328, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4037, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5625, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4946, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4877, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4539, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4167, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.6216, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4101, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5059, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5128, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5962, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4036, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4436, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4600, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3318, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5339, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4415, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4344, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5903, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5475, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.5292, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5273, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4340, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3963, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3688, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5113, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4274, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4577, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4566, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3567, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3699, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3047, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4129, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5976, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3124, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4808, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4764, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4755, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4488, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4162, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3313, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3587, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4781, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4910, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3719, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4965, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3954, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3490, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4760, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.5282, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4096, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4351, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4098, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3889, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3965, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3428, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4176, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4260, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3016, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3551, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3416, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4714, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3458, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2600, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3907, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4656, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3681, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3498, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2438, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3049, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2350, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3338, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.4410, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3414, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3430, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3212, device='cuda:1', grad_fn=<DivBackward0>)
